date,total_crimes,theft,battery,burglary,assault,narcotics,criminal_damage,arrest_count,domestic_count,tmax_c,tmin_c,tmax_f,tmin_f,prcp_mm,snow_mm,snwd_mm,awnd_ms
2018-01-01,1038,137,162,32,38,17,67,163,357,-17.1,-22.7,1.2199999999999989,-8.86,0.0,0.0,30.0,4.8
2018-01-02,564,128,89,20,28,25,46,121,110,-13.2,-22.7,8.240000000000002,-8.86,0.0,0.0,30.0,5.0
2018-01-03,576,159,81,19,39,34,38,108,84,-8.2,-14.3,17.240000000000002,6.259999999999998,0.0,3.0,30.0,5.5
2018-01-04,601,134,102,31,42,22,47,111,115,-11.0,-17.7,12.2,0.14000000000000412,0.0,0.0,30.0,5.5
2018-01-05,666,164,107,24,53,28,63,107,125,-11.6,-18.2,11.120000000000001,-0.759999999999998,0.0,0.0,30.0,4.8
2018-01-06,589,111,132,28,48,21,51,115,140,-8.2,-18.8,17.240000000000002,-1.8400000000000034,0.0,0.0,30.0,2.9
2018-01-07,534,108,120,23,39,18,55,96,140,0.6,-13.2,33.08,8.240000000000002,0.8,0.0,25.0,6.7
2018-01-08,624,164,98,28,40,44,54,146,107,2.8,-0.5,37.04,31.1,0.0,0.0,30.0,5.3
2018-01-09,652,158,98,46,46,48,47,156,105,2.2,-3.2,35.96,26.240000000000002,0.0,0.0,0.0,2.7
2018-01-10,720,183,112,32,49,46,75,164,123,13.3,-1.0,55.94,30.2,0.3,0.0,0.0,7.1
2018-01-11,703,164,101,36,64,35,90,136,102,15.0,-4.9,59.0,23.18,9.1,0.0,0.0,7.3
2018-01-12,708,164,111,28,46,40,78,134,122,-4.9,-9.9,23.18,14.18,0.0,0.0,0.0,8.9
2018-01-13,618,134,121,31,45,26,59,123,118,-8.8,-14.3,16.16,6.259999999999998,0.0,0.0,0.0,4.4
2018-01-14,566,118,137,18,33,22,58,122,143,-6.0,-14.9,21.2,5.18,2.0,20.0,0.0,4.2
2018-01-15,530,120,84,27,35,35,45,110,107,-4.3,-12.1,24.26,10.220000000000002,3.6,58.0,50.0,4.9
2018-01-16,614,146,111,25,48,33,43,120,108,-3.2,-12.7,26.240000000000002,9.14,0.3,15.0,80.0,5.3
2018-01-17,649,149,118,34,43,39,60,133,132,-6.6,-15.5,20.12,4.100000000000001,0.0,0.0,80.0,5.5
2018-01-18,627,162,91,35,45,31,58,131,100,0.0,-8.8,32.0,16.16,0.0,0.0,50.0,6.7
2018-01-19,711,179,111,42,35,49,74,172,107,4.4,-2.1,39.92,28.22,0.0,0.0,50.0,7.5
2018-01-20,731,194,134,33,52,49,67,174,140,7.2,0.0,44.96,32.0,0.0,0.0,0.0,3.7
2018-01-21,718,168,142,32,59,41,81,156,138,6.7,2.2,44.06,35.96,0.0,0.0,0.0,1.7
2018-01-22,724,197,103,32,52,37,74,146,125,12.2,3.3,53.96,37.94,20.6,0.0,0.0,5.6
2018-01-23,719,177,113,48,57,42,65,145,116,3.9,-2.1,39.02,28.22,1.8,13.0,0.0,5.7
2018-01-24,614,144,107,35,45,43,56,138,102,-1.0,-2.7,30.2,27.14,0.5,8.0,30.0,2.9
2018-01-25,641,160,126,25,52,35,72,112,106,6.1,-4.3,42.980000000000004,24.26,0.0,0.0,30.0,4.3
2018-01-26,762,168,140,40,55,45,88,170,140,10.6,0.6,51.08,33.08,0.0,0.0,0.0,8.3
2018-01-27,755,189,146,30,43,45,76,181,142,10.0,2.2,50.0,35.96,0.0,0.0,0.0,5.5
